Layer,Head,Impact,SNR,P_val
0,7,0.0,-0.5738881243946006,1.0
0,14,0.0,-0.6847691361032218,1.0
0,19,0.14330184275497632,3.3917021807525423,0.0
1,0,0.0,-0.2723845047605393,1.0
1,1,0.02407873001355328,0.2665293088378129,6.262644672544898e-17
1,2,0.0,-0.22471079715819442,0.9999999999988369
1,3,0.02272561129736342,-0.4761723275211755,1.0
1,7,0.024250596081048875,0.44645149938570394,1.1499594755730122e-41
1,8,0.024189022281856345,0.33800210639823186,1.3333137484689538e-25
1,10,0.02485350490728021,0.8177402425277946,1.6638665071241852e-113
1,15,0.020199442742480228,-1.2549799714882266,1.0
1,16,0.024218620333546912,0.39106493896261635,4.634199904143616e-33
1,19,0.0,-0.684894157572929,1.0
2,1,0.02594285098847127,0.14261202926729316,3.667251553009878e-06
2,2,0.016931354073120183,-0.4678250386908206,1.0
2,4,0.024040919341600533,0.3314910612810397,9.609766607657901e-25
2,5,0.02500080036002438,0.5984117125081866,9.781794681792978e-69
2,6,0.0,-0.9959702253323764,1.0
2,7,0.0,-0.6969592872177558,1.0
2,8,0.053503054974833736,1.6518680700624542,4.759631480114502e-288
2,9,0.0,-0.15343224377184825,0.9999992827123847
2,11,0.0,-0.3203150448564817,1.0
2,14,0.015052065521867919,-1.4039506581156893,1.0
2,16,0.0,-0.17281816283231746,0.9999999703279503
2,17,0.02364249057512436,-0.36566388005022543,1.0
2,18,0.02437440415691508,0.890993392001747,3.2284979328820874e-129
2,19,0.0,-0.24828115596061762,0.9999999999999946
3,0,0.028313030753347828,0.19056739142833307,1.1999262056643372e-09
3,1,0.0,-0.2942040848672922,1.0
3,5,0.04821614656820452,1.2371532794793356,6.3711327146093356e-204
3,6,0.035893341129539444,0.385152716272352,3.442224079394509e-32
3,7,0.023948720420792727,0.00826033534264971,0.397040732481934
3,8,0.0,-0.27003210515109455,1.0
3,9,0.0,-0.21647155579830088,0.9999999999932017
3,10,0.02222918249904271,-0.37959758897824625,1.0
